# eventID  propagation_model  gaussian_sigma  exp_decay_const  num_tracks  prob_mean  prob_width  total_hits_this_event  injected_from_file3  file3_tracks  file3_mu_plus  file3_mu_minus  mu_plus_mu_minus_ratio
       0  gaussian             8.89531           -1.00000         181    0.43684     0.04368         673  False                       0              0               0                 1.500
       1  gaussian            18.68048           -1.00000          29    0.07379     0.00738          98  False                       0              0               0                 1.500
       2  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
       3  exponential         -1.00000           20.35838          83    0.06425     0.00642         157  True                       42             25              17                 1.500
       4  exponential         -1.00000           17.98507         102    0.19742     0.01974         288  False                       0              0               0                 1.500
       5  exponential         -1.00000           19.20164          47    0.91991     0.09199         543  False                       0              0               0                 1.500
       6  linear              -1.00000           -1.00000         117    0.05534     0.00553         257  False                       0              0               0                 1.500
       7  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
       8  exponential         -1.00000           21.42462          91    0.02192     0.00219          97  True                       46             28              18                 1.500
       9  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      10  linear              -1.00000           -1.00000          90    0.11019     0.01102         313  False                       0              0               0                 1.500
      11  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      12  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
      13  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          69  False                       0              0               0                 1.500
      14  linear              -1.00000           -1.00000          66    0.30249     0.03025         574  False                       0              0               0                 1.500
      15  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
      16  exponential         -1.00000           23.80882          71    0.20148     0.02015         266  False                       0              0               0                 1.500
      17  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      18  linear              -1.00000           -1.00000         188    0.03134     0.00313         194  False                       0              0               0                 1.500
      19  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      20  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      21  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      22  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          69  False                       0              0               0                 1.500
      23  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      24  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      25  exponential         -1.00000           15.18714         177    0.27066     0.02707         733  True                       89             53              36                 1.500
      26  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      27  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          75  False                       0              0               0                 1.500
      28  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          72  False                       0              0               0                 1.500
      29  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      30  linear              -1.00000           -1.00000         165    0.01071     0.00107         108  False                       0              0               0                 1.500
      31  linear              -1.00000           -1.00000          92    0.04611     0.00461         177  False                       0              0               0                 1.500
      32  gaussian             7.18387           -1.00000         128    0.01760     0.00176          86  False                       0              0               0                 1.500
      33  gaussian             7.41754           -1.00000         165    0.55445     0.05545         668  False                       0              0               0                 1.500
      34  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
      35  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
      36  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
      37  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
      38  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      39  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          69  False                       0              0               0                 1.500
      40  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      41  exponential         -1.00000           25.67367         140    0.29228     0.02923         638  False                       0              0               0                 1.500
      42  exponential         -1.00000           16.57978          25    0.37760     0.03776         218  True                       13              8               5                 1.500
      43  linear              -1.00000           -1.00000          73    0.08119     0.00812         197  False                       0              0               0                 1.500
      44  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
      45  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      46  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
      47  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      48  gaussian            17.16036           -1.00000          53    0.72060     0.07206         844  True                       27             16              11                 1.500
      49  linear              -1.00000           -1.00000         165    0.00311     0.00031          82  False                       0              0               0                 1.500
      50  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      51  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      52  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      53  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      54  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
      55  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          69  False                       0              0               0                 1.500
      56  exponential         -1.00000           10.59249          87    0.31571     0.03157         227  False                       0              0               0                 1.500
      57  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      58  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      59  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      60  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      61  gaussian            17.25044           -1.00000          79    0.33802     0.03380         428  False                       0              0               0                 1.500
      62  linear              -1.00000           -1.00000         168    0.03928     0.00393         227  False                       0              0               0                 1.500
      63  exponential         -1.00000           22.66757         179    0.13740     0.01374         364  False                       0              0               0                 1.500
      64  gaussian             5.36864           -1.00000         117    0.00564     0.00056          77  False                       0              0               0                 1.500
      65  linear              -1.00000           -1.00000         108    0.03476     0.00348         160  False                       0              0               0                 1.500
      66  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          69  False                       0              0               0                 1.500
      67  gaussian             8.81824           -1.00000         151    0.18502     0.01850         290  False                       0              0               0                 1.500
      68  exponential         -1.00000           12.30402          26    0.24831     0.02483         123  False                       0              0               0                 1.500
      69  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      70  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      71  gaussian            17.09957           -1.00000          57    0.72205     0.07221         616  False                       0              0               0                 1.500
      72  linear              -1.00000           -1.00000          73    0.05929     0.00593         173  False                       0              0               0                 1.500
      73  exponential         -1.00000           24.60320          86    0.62091     0.06209         765  False                       0              0               0                 1.500
      74  linear              -1.00000           -1.00000          28    0.31976     0.03198         282  False                       0              0               0                 1.500
      75  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      76  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      77  linear              -1.00000           -1.00000         183    0.13383     0.01338         666  False                       0              0               0                 1.500
      78  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
      79  exponential         -1.00000           17.77091         168    0.05157     0.00516         161  False                       0              0               0                 1.500
      80  gaussian            13.03842           -1.00000          31    0.59093     0.05909         271  False                       0              0               0                 1.500
      81  linear              -1.00000           -1.00000         167    0.07457     0.00746         532  True                       84             50              34                 1.500
      82  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
      83  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
      84  linear              -1.00000           -1.00000          68    0.11916     0.01192         272  False                       0              0               0                 1.500
      85  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
      86  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          69  False                       0              0               0                 1.500
      87  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      88  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      89  gaussian            14.81073           -1.00000         193    0.06205     0.00621         223  False                       0              0               0                 1.500
      90  linear              -1.00000           -1.00000         192    0.07283     0.00728         410  False                       0              0               0                 1.500
      91  gaussian             7.34494           -1.00000         109    0.41297     0.04130         356  False                       0              0               0                 1.500
      92  linear              -1.00000           -1.00000          61    0.32719     0.03272         548  False                       0              0               0                 1.500
      93  linear              -1.00000           -1.00000          59    0.23802     0.02380         414  False                       0              0               0                 1.500
      94  exponential         -1.00000           15.78339         131    0.88388     0.08839        1180  False                       0              0               0                 1.500
      95  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      96  exponential         -1.00000           25.40559         188    0.23460     0.02346         661  False                       0              0               0                 1.500
      97  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
      98  gaussian            18.68780           -1.00000         139    0.33416     0.03342        1086  True                       70             42              28                 1.500
      99  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          69  False                       0              0               0                 1.500
     100  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          75  False                       0              0               0                 1.500
     101  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     102  gaussian            16.50759           -1.00000         160    0.28800     0.02880         678  False                       0              0               0                 1.500
     103  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
     104  gaussian            12.66296           -1.00000         118    0.21432     0.02143         332  False                       0              0               0                 1.500
     105  exponential         -1.00000           10.35341          79    0.35248     0.03525         237  False                       0              0               0                 1.500
     106  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
     107  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     108  exponential         -1.00000           24.69166         181    0.07509     0.00751         258  False                       0              0               0                 1.500
     109  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
     110  gaussian            19.22114           -1.00000         195    0.14019     0.01402         467  False                       0              0               0                 1.500
     111  gaussian             6.45709           -1.00000         102    0.50584     0.05058         358  False                       0              0               0                 1.500
     112  linear              -1.00000           -1.00000         118    0.02526     0.00253         140  False                       0              0               0                 1.500
     113  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     114  exponential         -1.00000           23.11931         162    0.04560     0.00456         147  False                       0              0               0                 1.500
     115  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
     116  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
     117  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     118  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     119  linear              -1.00000           -1.00000          15    0.51910     0.05191         277  False                       0              0               0                 1.500
     120  gaussian            11.54565           -1.00000          85    0.37427     0.03743         397  False                       0              0               0                 1.500
     121  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     122  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     123  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     124  exponential         -1.00000           24.91983         191    0.39322     0.03932        1080  False                       0              0               0                 1.500
     125  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     126  gaussian             7.38134           -1.00000         107    0.48147     0.04815         386  False                       0              0               0                 1.500
     127  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     128  linear              -1.00000           -1.00000         192    0.12225     0.01222         630  False                       0              0               0                 1.500
     129  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     130  gaussian            18.63831           -1.00000         140    0.00072     0.00007          71  False                       0              0               0                 1.500
     131  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     132  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          72  False                       0              0               0                 1.500
     133  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     134  linear              -1.00000           -1.00000          33    0.60986     0.06099         584  False                       0              0               0                 1.500
     135  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     136  gaussian            14.94117           -1.00000         152    0.10993     0.01099         274  False                       0              0               0                 1.500
     137  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     138  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     139  gaussian            18.03166           -1.00000         184    0.12111     0.01211         386  False                       0              0               0                 1.500
     140  exponential         -1.00000           13.39984         177    0.17045     0.01704         304  False                       0              0               0                 1.500
     141  linear              -1.00000           -1.00000          83    0.02967     0.00297         133  False                       0              0               0                 1.500
     142  gaussian             6.66386           -1.00000         101    0.38642     0.03864         309  False                       0              0               0                 1.500
     143  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     144  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     145  linear              -1.00000           -1.00000         172    0.00567     0.00057          99  False                       0              0               0                 1.500
     146  exponential         -1.00000           20.96027         114    0.58962     0.05896         869  False                       0              0               0                 1.500
     147  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     148  linear              -1.00000           -1.00000         198    0.16868     0.01687         907  False                       0              0               0                 1.500
     149  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     150  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          71  False                       0              0               0                 1.500
     151  exponential         -1.00000           16.57640         133    0.66259     0.06626         960  False                       0              0               0                 1.500
     152  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     153  no_injection         -1.00000           -1.00000           0    0.00000     0.00000          70  False                       0              0               0                 1.500
     154  linear              -1.00000           -1.00000          15    0.92823     0.09282         417  False                       0              0               0                 1.500
     155  exponential         -1.00000           11.61635         191    0.74861     0.07486        1129  False                       0              0               0                 1.500
     156  gaussian            12.81454           -1.00000          43    0.02850     0.00285          82  False                       0              0               0                 1.500
     157  exponential         -1.00000           15.13227         103    0.06798     0.00680         136  False                       0              0               0                 1.500
