--- Prod Version ---
loss: 1.6958 - accuracy: 0.6948 - val_loss: 2.5330 - val_accuracy: 0.6165

Det |  μ+ mean  |  μ+ std   |  μ- mean  |  μ- std
  1 |    7.107 |    7.264 |    7.229 |    6.773
  2 |    6.965 |    7.273 |    7.314 |    6.865
  3 |    7.130 |    6.624 |    7.190 |    6.401
  4 |    7.006 |    6.559 |    7.269 |    6.387
  5 |    7.259 |    7.169 |    7.488 |    7.012
  6 |    7.251 |    7.353 |    7.438 |    6.922
  7 |    0.000 |    0.000 |    0.000 |    0.000
 13 |    1.806 |    2.601 |    1.815 |    2.324
 14 |    1.810 |    2.535 |    1.798 |    2.373
 15 |    1.475 |    2.099 |    1.427 |    1.935
 16 |    1.504 |    2.118 |    1.437 |    1.882
 17 |    1.720 |    2.688 |    1.833 |    2.462
 18 |    1.721 |    2.754 |    1.841 |    2.487
 19 |    3.195 |   14.878 |    1.288 |    3.482
 20 |    3.254 |   15.098 |    1.230 |    3.338
 21 |    3.038 |   14.873 |    0.964 |    2.988
 22 |    2.985 |   14.748 |    0.982 |    3.011
 23 |    3.402 |   16.439 |    1.628 |    5.172
 24 |    3.563 |   17.060 |    1.579 |    5.078
 25 |    3.786 |   17.824 |    1.610 |    5.223
 26 |    3.765 |   17.691 |    1.662 |    5.469
 27 |    3.021 |   15.090 |    0.982 |    3.094
 28 |    3.001 |   15.059 |    0.978 |    2.850
 29 |    2.999 |   14.424 |    1.252 |    3.167
 30 |    3.142 |   14.811 |    1.226 |    3.118
 31 |    0.448 |    1.440 |    0.427 |    1.409
 32 |    0.447 |    1.445 |    0.497 |    1.531
 33 |    1.504 |    3.670 |    2.289 |    4.304
 34 |    1.947 |    3.731 |    2.144 |    4.242
 35 |    0.622 |    1.246 |    0.000 |    0.000
 36 |    0.011 |    0.360 |    0.637 |    1.215
 37 |    0.266 |    1.426 |    0.143 |    0.572
 38 |    0.287 |    1.513 |    0.192 |    0.650
 39 |    0.322 |    1.837 |    0.088 |    0.364
 40 |    0.315 |    1.776 |    0.117 |    0.441
 41 |    0.484 |    0.969 |    0.000 |    0.000
 42 |    0.000 |    0.000 |    0.489 |    1.007
 43 |    0.490 |    1.002 |    0.000 |    0.000
 44 |    0.000 |    0.000 |    0.508 |    1.051
 45 |    0.300 |    1.715 |    0.133 |    0.441
 46 |    0.291 |    1.678 |    0.135 |    0.438
 47 |    2.292 |    3.687 |    2.416 |    4.123
 48 |    2.263 |    3.736 |    2.433 |    4.311
 49 |    0.762 |    1.346 |    0.656 |    1.202
 50 |    0.786 |    1.402 |    0.658 |    1.220
 51 |    1.088 |    3.021 |    0.872 |    1.394
 52 |    1.079 |    2.913 |    0.871 |    1.355
 53 |    2.708 |    4.688 |    2.792 |    5.018
 54 |    2.771 |    4.957 |    2.756 |    4.705
 55 |    0.000 |    0.000 |    0.000 |    0.000
 59 |    2.057 |    4.988 |    0.000 |    0.000
 All|    1.899 |    7.798 |    1.535 |    3.904


--- ResNet Version ---
loss: 1.7137 - accuracy: 0.7684 - val_loss: 2.8200 - val_accuracy: 0.6425

Det |  μ+ mean  |  μ+ std   |  μ- mean  |  μ- std
  1 |    6.083 |    6.888 |    5.853 |    5.554
  2 |    5.934 |    6.804 |    5.840 |    5.676
  3 |    5.864 |    5.790 |    5.643 |    5.286
  4 |    5.875 |    5.671 |    5.593 |    5.321
  5 |    6.148 |    6.233 |    5.978 |    5.939
  6 |    6.223 |    6.213 |    5.815 |    5.907
  7 |    0.000 |    0.000 |    0.000 |    0.000
 13 |    1.599 |    2.204 |    1.650 |    2.639
 14 |    1.630 |    2.338 |    1.581 |    2.432
 15 |    1.277 |    1.716 |    1.211 |    1.873
 16 |    1.320 |    1.818 |    1.227 |    1.933
 17 |    1.599 |    2.511 |    1.562 |    2.211
 18 |    1.615 |    2.516 |    1.552 |    2.224
 19 |    2.673 |   13.439 |    0.985 |    2.801
 20 |    2.635 |   13.503 |    1.065 |    3.001
 21 |    2.525 |   13.569 |    0.844 |    2.806
 22 |    2.462 |   13.312 |    0.863 |    2.820
 23 |    2.653 |   14.278 |    1.372 |    4.593
 24 |    2.875 |   15.002 |    1.405 |    4.862
 25 |    3.206 |   16.471 |    1.559 |    5.563
 26 |    3.051 |   16.024 |    1.574 |    5.672
 27 |    2.496 |   13.695 |    0.946 |    3.304
 28 |    2.777 |   14.619 |    0.976 |    3.435
 29 |    2.863 |   14.140 |    1.190 |    3.542
 30 |    2.653 |   13.456 |    1.168 |    3.467
 31 |    0.410 |    1.433 |    0.377 |    1.436
 32 |    0.358 |    1.282 |    0.388 |    1.442
 33 |    1.249 |    3.394 |    1.724 |    3.770
 34 |    1.737 |    3.527 |    1.692 |    3.822
 35 |    0.599 |    1.296 |    0.005 |    0.205
 36 |    0.011 |    0.360 |    0.505 |    1.045
 37 |    0.246 |    1.396 |    0.137 |    0.586
 38 |    0.253 |    1.402 |    0.141 |    0.554
 39 |    0.269 |    1.682 |    0.099 |    0.430
 40 |    0.272 |    1.664 |    0.091 |    0.382
 41 |    0.449 |    0.997 |    0.004 |    0.182
 42 |    0.000 |    0.000 |    0.374 |    0.900
 43 |    0.470 |    1.068 |    0.004 |    0.182
 44 |    0.000 |    0.000 |    0.376 |    0.871
 45 |    0.262 |    1.669 |    0.114 |    0.424
 46 |    0.245 |    1.526 |    0.103 |    0.394
 47 |    2.230 |    4.171 |    1.975 |    3.701
 48 |    2.216 |    4.055 |    1.991 |    3.966
 49 |    0.567 |    1.124 |    0.574 |    1.298
 50 |    0.587 |    1.129 |    0.563 |    1.299
 51 |    0.853 |    3.186 |    0.714 |    1.449
 52 |    0.852 |    2.873 |    0.722 |    1.448
 53 |    2.615 |    4.917 |    2.292 |    4.177
 54 |    2.576 |    4.777 |    2.366 |    4.659
 55 |    0.000 |    0.000 |    0.000 |    0.000
 59 |    1.982 |    5.127 |    0.000 |    0.000
 All|    1.635 |    7.101 |    1.267 |    3.439


--- U-Net Version ---
loss: 0.8104 - accuracy: 0.9432 - val_loss: 1.3824 - val_accuracy: 0.8627

Det |  μ+ mean  |  μ+ std   |  μ- mean  |  μ- std
  1 |    4.568 |    8.533 |    4.921 |    8.368
  2 |    4.443 |    8.485 |    5.061 |    8.517
  3 |    4.318 |    7.772 |    4.399 |    7.734
  4 |    4.161 |    7.590 |    4.243 |    7.554
  5 |    4.718 |    8.527 |    5.245 |    8.539
  6 |    4.627 |    8.113 |    5.192 |    8.451
  7 |    0.000 |    0.000 |    0.000 |    0.000
 13 |    1.409 |    7.035 |    1.041 |    2.973
 14 |    1.097 |    4.654 |    0.994 |    2.898
 15 |    0.702 |    2.135 |    0.592 |    1.883
 16 |    0.733 |    1.896 |    0.646 |    2.268
 17 |    1.237 |    5.036 |    0.970 |    3.023
 18 |    1.184 |    4.606 |    0.946 |    2.956
 19 |    2.091 |   13.079 |    0.878 |    4.116
